conmedic,partyid,region,id,age,sex,race,degree
 1, 3, 1,   1,65, 2, 1, 1
 1, 2, 1,   2,60, 1, 1, 3
.i, 0, 2,   3,.n,.n, 1, 0
 2, 3, 2,   4,.n,.n, 1, 0
.i, 0, 1,   6,.i, 2, 2, 1
.i, 3, 1,   7,33, 2, 2, 3
 1, 2, 2,   8,20, 1, 1, 1
.i, 1, 2,   9,.i, 2, 1, 4
 2, 2, 2,  10,76, 1, 1, 1
 1, 2, 2,  12,61, 2, 3, 3
.i, 3, 2,  13,37, 1, 1, 0
 3, 5, 2,  14,23, 1, 1, 1
 1, 0, 2,  15,71, 2, 3, 4
.i, 0, 2,  16,21, 1, 1, 1
 1, 1, 2,  17,75, 1, 1, 4
 2, 0, 2,  18,20, 2, 1, 1
 2, 0, 2,  19,65, 2, 1, 1
 1, 0, 2,  21,56, 2, 1, 2
 2, 0, 2,  22,22, 2, 1, 2
.i, 7, 2,  23,33, 2, 1, 4
 2, 3, 2,  24,.i, 1, 1, 3
 1, 2, 2,  25,31, 1, 3, 3
 2, 7, 2,  26,55, 2, 1, 3
 2, 2, 2,  27,33, 2, 2, 3
.i, 2, 2,  28,37, 1, 1, 2
 2, 2, 2,  29,53, 1, 1, 1
 2, 3, 2,  30,43, 2, 1, 4
.i, 1, 2,  31,44, 2, 3, 4
 1, 3, 2,  32,32, 1, 2, 1
 1, 4, 2,  35,65, 1, 1, 1
.i, 1, 2,  36,30, 2, 3, 4
.i, 4, 2,  37,52, 2, 1, 3
.i, 0, 2,  38,34, 1, 1, 4
 1, 6, 2,  39,53, 1, 1, 3
 2, 1, 2,  40,.i, 2, 1, 1
 1, 5, 2,  41,62, 2, 1, 1
 1, 0, 2,  42,62, 2, 1, 0
.i, 2, 1,  43,42, 1, 1, 1
.i,.n, 9,  44,.n,.n, 1, 0
 1, 3, 9,  45,29, 1, 1, 3
 2, 2, 9,  46,53, 2, 1, 3
 1, 3, 9,  47,51, 2, 1, 3
 1, 1, 9,  48,24, 2, 3, 3
 1, 3, 9,  49,51, 1, 1, 4
 2, 1, 9,  50,26, 2, 3, 1
.i, 0, 9,  51,37, 1, 2, 3
 3, 3, 9,  52,28, 2, 2, 1
 3, 0, 9,  53,30, 1, 1, 1
.i, 1, 9,  54,57, 1, 3, 4
 1, 0, 9,  56,45, 1, 1, 4
 1, 1, 9,  57,43, 2, 3, 3
 3, 2, 9,  59,31, 2, 1, 1
 1, 1, 9,  60,23, 2, 1, 3
 2, 0, 9,  61,64, 2, 1, 1
.i, 3, 9,  62,82, 2, 1, 3
 1, 4, 9,  63,.i, 1, 1, 1
 2, 0, 9,  64,58, 1, 1, 0
 1, 0, 9,  65,89, 1, 1, 1
 2, 6, 9,  66,51, 1, 1, 2
 1, 6, 9,  67,78, 1, 1, 3
 2, 6, 9,  68,.i, 2, 1, 1
.i, 0, 9,  69,.i, 1, 3, 2
.i, 4, 9,  70,.n, 1, 1, 3
 1, 1, 9,  71,42, 2, 1, 3
 2, 0, 9,  72,64, 1, 1, 2
 2, 0, 9,  74,51, 2, 1, 2
 1, 0, 9,  75,.i, 2, 1, 3
 2, 0, 9,  76,51, 2, 3, 0
.i,.n, 9,  77,50, 1, 3, 3
 2, 0, 9,  78,55, 2, 3, 1
.i, 2, 9,  79,57, 1, 3, 1
 3, 6, 3,  80,62, 1, 1, 1
 2, 6, 3,  81,62, 2, 1, 1
.i, 0, 3,  82,33, 1, 1, 1
 2, 1, 3,  83,72, 2, 1, 1
 2, 0, 3,  84,64, 2, 2, 4
 1, 0, 3,  85,42, 1, 1, 3
 1, 2, 3,  86,73, 2, 1, 3
.i, 1, 3,  88,49, 1, 1, 3
 2, 0, 3,  89,63, 2, 2, 0
